       	ADAM33 	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.17177	0.0087688	0.0041584	0.0015953	0.010783	0.013134	0.01192	0.011779	0.011863	0.012191	0.012191	0.012981	0.011445	0.013542	0.011717	0.01445	0.011304	0.0077208	0.0068666	0.0091668	0.0070623	0.0097807	0.011681	0.010044	0.0076769	0.010545	0.009519	0.011494	0.012024	0.038293	0.010717	0.011832	0.010066	0.011763	0.011235	0.012154	0.011994	0.013975	0.013314	0.011334	0.0089176	0.011266	0.010207	0.011169	0.010902	0.012131	0.011535	0.010814	0.011916	0.012277	0.021533	0.012107	0.013035	0.011832	0.0099379	0.010164	0.0063899	0.010978	0.010399	0.0015953	0.014074	0.008895	0.0058147	0.0024295	0.01073	0.0042873	0.010017	0.010935	0.010192	0.0099481	0.011603	0.012867	0.011286	0.011138	0.010166	0.0096344	0.011026                                                      
ALOX5  	0.0087688	0.029434	0.0063738	0.001532	0.01225	0.01359	0.012556	0.012769	0.012473	0.012144	0.012144	0.013084	0.01143	0.012517	0.012422	0.012303	0.012632	0.010452	0.0082064	0.018912	0.032134	0.011588	0.013679	0.013123	0.035805	0.012232	0.0074494	0.012428	0.012238	0.011946	0.01199	0.012722	0.011377	0.012556	0.012236	0.012387	0.012509	0.011799	0.012249	0.01262	0.011335	0.013825	0.012715	0.012605	0.012483	0.012668	0.013447	0.01279	0.014084	0.012762	0.012265	0.013007	0.012806	0.013151	0.01784	0.020018	0.042386	0.011978	0.012673	0.001532	0.0088398	0.010614	0.0085205	0.003319	0.012432	0.0040622	0.012185	0.012523	0.011972	0.011273	0.013189	0.012183	0.012409	0.013404	0.011657	0.011429	0.012554                                                                    
AREG   	0.0041584	0.0063738	0.40379	0.00061212	0.0073302	0.0081355	0.0082158	0.010787	0.0079194	0.0072356	0.0072356	0.010125	0.0061719	0.007853	0.0079938	0.00759	0.010228	0.0043697	0.0047769	0.014302	0.0070794	0.0062901	0.0093223	0.0067777	0.0056278	0.0063834	0.0035783	0.0082732	0.0077529	0.006985	0.0078667	0.009353	0.0073478	0.009955	0.0079558	0.0083284	0.0093983	0.0072639	0.0075699	0.0098154	0.0061379	0.0084366	0.0070576	0.0080222	0.0072829	0.0081293	0.0084388	0.0077156	0.0077655	0.008192	0.0075724	0.0078661	0.0074612	0.0083042	0.0082461	0.0081911	0.0050983	0.0072747	0.046043	0.00061212	0.004465	0.0069575	0.0030509	0.0015922	0.014222	0.0020655	0.0061643	0.0071405	0.0087429	0.0056997	0.0080944	0.0078177	0.0080589	0.011984	0.0072451	0.0069782	0.0077488      
ARG1   	0.0015953	0.001532	0.00061212	0.33023	0.0034036	0.0025877	0.0027821	0.002413	0.0022642	0.0032535	0.0032535	0.0024046	0.0017317	0.0027877	0.0023975	0.0024075	0.0028137	0.0010183	0.0012405	0.0015325	0.00097132	0.0016584	0.0025183	0.0015867	0.0011152	0.0017558	0.0009805	0.0028533	0.0030462	0.0030342	0.0029872	0.0027815	0.002159	0.002811	0.0031257	0.0030378	0.0028033	0.003618	0.0033884	0.0026978	0.00154	0.0028098	0.0020491	0.0025548	0.0020788	0.0028086	0.0022723	0.0021472	0.0020822	0.0026102	0.0028484	0.0025754	0.0022188	0.0026696	0.001671	0.0018391	0.00086424	0.0034542	0.0020655	0.28044	0.001355	0.0018719	0.00084801	0.00033729	0.0019722	0.21717	0.0016174	0.0019338	0.0021407	0.0017835	0.0022809	0.010262	0.0030675	0.0022716	0.0021595	0.001948	0.0021913   
BCL6   	0.010783	0.01225	0.0073302	0.0034036	0.017673	0.013728	0.014081	0.014062	0.014086	0.014073	0.014073	0.013926	0.013835	0.013932	0.014081	0.013999	0.01441	0.010813	0.0094805	0.012688	0.010887	0.01411	0.013858	0.01412	0.010946	0.012892	0.0090782	0.014316	0.014224	0.013493	0.014483	0.014126	0.014199	0.01413	0.014395	0.014215	0.013933	0.014073	0.014126	0.014168	0.013458	0.014088	0.014206	0.014536	0.014048	0.014136	0.013984	0.014134	0.013962	0.013864	0.013713	0.01394	0.014112	0.013808	0.013227	0.013059	0.010134	0.01476	0.013436	0.0034036	0.010642	0.013745	0.009681	0.0040419	0.014234	0.0065367	0.012673	0.013299	0.014865	0.013471	0.014257	0.01404	0.014649	0.013993	0.014614	0.014595	0.014176                                                                     
CCL11  	0.013134	0.01359	0.0081355	0.0025877	0.013728	0.013942	0.013856	0.013801	0.013913	0.013957	0.013957	0.013821	0.014299	0.013953	0.013933	0.014016	0.013692	0.016273	0.0099963	0.013345	0.013131	0.013997	0.013822	0.013662	0.013515	0.014932	0.010027	0.013734	0.013622	0.013852	0.01358	0.01369	0.013432	0.01364	0.013678	0.013686	0.013623	0.013654	0.01369	0.013724	0.013623	0.01372	0.013716	0.01374	0.013787	0.01375	0.013789	0.013792	0.013713	0.013607	0.013553	0.013717	0.013847	0.013566	0.013576	0.013597	0.013076	0.013652	0.013252	0.0025877	0.01132	0.012831	0.0091541	0.00503	0.013877	0.0054858	0.01514	0.014491	0.013865	0.01307	0.013766	0.01346	0.013703	0.013716	0.01356	0.013467	0.013784                                                                            
CCL17  	0.01192	0.012556	0.0082158	0.0027821	0.014081	0.013856	0.014312	0.014019	0.01446	0.014297	0.014297	0.013949	0.015011	0.014118	0.014276	0.014349	0.013953	0.012444	0.010031	0.012913	0.011535	0.01668	0.013809	0.013797	0.011674	0.01359	0.010041	0.01402	0.013868	0.013811	0.013943	0.013909	0.013797	0.013863	0.013951	0.013917	0.013829	0.013922	0.013914	0.01393	0.013405	0.013852	0.013951	0.013987	0.013951	0.013907	0.013879	0.014028	0.013775	0.013777	0.013643	0.013798	0.014009	0.013698	0.01329	0.013172	0.010928	0.013986	0.013383	0.0027821	0.011299	0.013309	0.009269	0.0048764	0.014031	0.0057458	0.013449	0.013667	0.014104	0.01332	0.01407	0.013687	0.013971	0.013853	0.014058	0.014157	0.014291                                                                        
CCL2   	0.011779	0.012769	0.010787	0.002413	0.014062	0.013801	0.014019	0.013983	0.01409	0.014146	0.014146	0.013896	0.014561	0.013987	0.014121	0.014145	0.01394	0.012371	0.010078	0.013204	0.01195	0.014363	0.013798	0.01386	0.011996	0.013513	0.010103	0.014002	0.0139	0.013689	0.013976	0.013922	0.014193	0.013907	0.014024	0.013963	0.013802	0.01392	0.013916	0.013948	0.013518	0.013871	0.014075	0.013983	0.013901	0.013892	0.013858	0.013999	0.013794	0.013753	0.01363	0.013762	0.013959	0.013687	0.01342	0.013289	0.011354	0.014034	0.013685	0.002413	0.011363	0.013667	0.009208	0.004942	0.014229	0.0054116	0.01339	0.013623	0.01434	0.013384	0.013941	0.013651	0.013999	0.013898	0.014035	0.014003	0.013998                                                                              
CCL22  	0.011863	0.012473	0.0079194	0.0022642	0.014086	0.013913	0.01446	0.01409	0.014647	0.014416	0.014416	0.014015	0.015374	0.014218	0.014407	0.014503	0.013988	0.012333	0.0097139	0.012842	0.011368	0.017497	0.013841	0.013706	0.011542	0.013601	0.0099976	0.014075	0.013895	0.01389	0.01396	0.013951	0.013793	0.013895	0.013985	0.013953	0.013867	0.013881	0.013921	0.013976	0.013412	0.013882	0.013947	0.014029	0.014003	0.013938	0.013914	0.014073	0.013779	0.013817	0.013661	0.013847	0.014053	0.013719	0.013257	0.013148	0.010733	0.013998	0.013389	0.0022642	0.01124	0.013255	0.0093288	0.0043914	0.0141	0.0052805	0.013434	0.013682	0.014167	0.013331	0.014153	0.013713	0.014007	0.013889	0.014054	0.014156	0.014421                                                                   
CCL24  	0.012191	0.012144	0.0072356	0.0032535	0.014073	0.013957	0.014297	0.014146	0.014416	0.015928	0.015016	0.01408	0.016414	0.014513	0.014791	0.015018	0.013942	0.011898	0.010165	0.012538	0.010739	0.014199	0.013792	0.013269	0.010987	0.013565	0.010254	0.014099	0.01398	0.01426	0.01387	0.013955	0.013613	0.013883	0.014006	0.013993	0.013986	0.014175	0.014057	0.013969	0.013265	0.01389	0.013933	0.01399	0.013941	0.013935	0.013864	0.01402	0.013649	0.013867	0.013737	0.01391	0.01409	0.013719	0.012983	0.012936	0.010044	0.01405	0.013297	0.0032535	0.011441	0.012808	0.0096911	0.0049315	0.01396	0.0063232	0.013279	0.013622	0.014	0.013585	0.013961	0.013895	0.014018	0.01389	0.013829	0.013688	0.014039                                                                             
