       	ADAM33 	ALOX5  	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CLC    	CLCA1  	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	POSTN  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.39805	0.0062072	0.0015103	0.0074488	0.010333	0.009001	0.0091359	0.0084362	0.0068334	0.0079752	0.0085907	0.0067691	0.008285	0.0077196	0.0075611	0.0091291	0.0014865	0.0041201	0.0054538	0.0062034	0.0092998	0.006364	0.0042971	0.0014865	0.0038272	0.0093691	0.0090744	0.0072836	0.0084302	0.010519	0.0083511	0.01086	0.009619	0.011996	0.011211	0.018254	0.018254	0.0092808	0.0067274	0.0091219	0.0077009	0.0092595	0.0085463	0.011896	0.0096454	0.0085287	0.014017	0.010637	0.039394	0.0097177	0.0082326	0.011028	0.0093122	0.0077627	0.0042971	0.0067874	0.0085899	0.0012598	0.0062714	0.0013774	0.0083789	0.0044434	0.0014865	0.004144	0.0076795	0.0074385	0.010383	0.011805	0.0094742	0.0088374	0.0064801	0.002318	0.0089997                       
ALOX5  	0.0062072	0.039208	0.0017923	0.012559	0.012388	0.012509	0.013013	0.012396	0.011152	0.011698	0.012727	0.011073	0.012286	0.011668	0.011568	0.013722	0.0028597	0.0054226	0.049212	0.010699	0.015869	0.013277	0.057699	0.0028597	0.0055745	0.012921	0.012617	0.011434	0.012364	0.013304	0.010605	0.013177	0.012354	0.01264	0.013128	0.011751	0.011751	0.013311	0.011878	0.015418	0.013467	0.013527	0.013129	0.013581	0.015228	0.013446	0.014478	0.013327	0.012707	0.014049	0.015347	0.016643	0.017473	0.028742	0.057699	0.010457	0.013375	0.0020908	0.0096818	0.0020086	0.012457	0.0049933	0.0028597	0.0063475	0.012088	0.011807	0.014345	0.012545	0.013022	0.015571	0.0084604	0.0033455	0.013612                                                            
ARG1   	0.0015103	0.0017923	0.51624	0.0018585	0.0037236	0.0040361	0.0032036	0.0029164	0.0023374	0.0044692	0.0029165	0.0019652	0.0028585	0.0028261	0.0026503	0.0028697	0.00033041	0.0011103	0.0013571	0.0012947	0.0028184	0.0013166	0.00096888	0.00033041	0.0010259	0.0041238	0.004375	0.0022621	0.0029431	0.003857	0.0029508	0.0040332	0.0049803	0.0046436	0.0040203	0.0061367	0.0061367	0.0038166	0.0020232	0.0040941	0.0028463	0.0030421	0.0026044	0.0029572	0.0027337	0.002891	0.0025894	0.0037595	0.0044434	0.0033962	0.002186	0.0036763	0.0021526	0.0021436	0.00096888	0.002255	0.0027287	0.00026267	0.0018642	0.00028674	0.0025555	0.27927	0.00033041	0.0012116	0.0027254	0.0024752	0.0027535	0.017887	0.0044018	0.0029113	0.0014433	0.00036699	0.0027608  
BCL6   	0.0074488	0.012559	0.0018585	0.071578	0.014215	0.014559	0.014674	0.014688	0.013634	0.0138	0.014605	0.014197	0.014359	0.014001	0.013804	0.015224	0.0035672	0.005929	0.011221	0.017756	0.015553	0.01705	0.010096	0.0035672	0.0058379	0.015717	0.01465	0.013829	0.015343	0.015192	0.012505	0.01504	0.014514	0.014711	0.01463	0.013173	0.013173	0.015341	0.01401	0.014752	0.014517	0.020257	0.014386	0.015656	0.015923	0.014559	0.015401	0.014504	0.014462	0.016283	0.015503	0.015416	0.015852	0.014156	0.010096	0.012572	0.014736	0.0020681	0.011965	0.0021113	0.015732	0.0054749	0.0035672	0.0076773	0.016994	0.013839	0.019097	0.014175	0.01584	0.014794	0.0097315	0.0038706	0.016422                                                                     
CCL11  	0.010333	0.012388	0.0037236	0.014215	0.015729	0.015917	0.015698	0.016181	0.017704	0.016782	0.016053	0.017777	0.016456	0.01689	0.01712	0.015238	0.011587	0.0078454	0.011206	0.012563	0.014757	0.012308	0.010197	0.011587	0.0074196	0.015258	0.014876	0.017449	0.014708	0.015194	0.014465	0.01497	0.015047	0.015086	0.014875	0.014946	0.014946	0.015212	0.015804	0.014961	0.015173	0.014964	0.015727	0.014636	0.014906	0.01532	0.014791	0.014683	0.014687	0.01517	0.014809	0.014726	0.014444	0.013398	0.010197	0.013408	0.015598	0.0033632	0.012746	0.0036832	0.015678	0.0078723	0.011587	0.013416	0.015482	0.014339	0.014745	0.014858	0.01507	0.015024	0.010316	0.0047735	0.014939                                                                        
CCL17  	0.009001	0.012509	0.0040361	0.014559	0.015917	0.016512	0.016201	0.016836	0.018708	0.017648	0.01662	0.018817	0.017146	0.017726	0.017967	0.015697	0.0049823	0.0081913	0.011198	0.014368	0.015141	0.012634	0.010131	0.0049823	0.0077647	0.015676	0.015241	0.018249	0.015104	0.015615	0.015	0.015373	0.015482	0.015492	0.015214	0.015293	0.015293	0.015488	0.014706	0.015295	0.015341	0.015324	0.015382	0.015026	0.015326	0.015403	0.015172	0.015067	0.014939	0.015422	0.015114	0.015023	0.014851	0.013641	0.010131	0.01381	0.015952	0.0035785	0.013136	0.0039166	0.015684	0.0083427	0.0049823	0.0089982	0.015474	0.014745	0.015215	0.015261	0.015431	0.015399	0.010627	0.004914	0.015557                                                                    
CCL2   	0.0091359	0.013013	0.0032036	0.014674	0.015698	0.016201	0.016067	0.016456	0.017606	0.016908	0.016355	0.017658	0.016625	0.017037	0.01717	0.015789	0.0046725	0.0081758	0.011828	0.012995	0.015285	0.013401	0.010885	0.0046725	0.0077042	0.015761	0.015434	0.017328	0.015425	0.015676	0.015756	0.015516	0.015726	0.015642	0.015262	0.015226	0.015226	0.015628	0.015022	0.015456	0.015746	0.015455	0.015486	0.015137	0.015395	0.015634	0.015323	0.015121	0.014979	0.015411	0.015329	0.015123	0.015073	0.013975	0.010885	0.014481	0.016108	0.0035027	0.014109	0.0038796	0.015938	0.0075038	0.0046725	0.0087024	0.015879	0.014865	0.015218	0.015225	0.015599	0.015645	0.010835	0.0050951	0.015372                                                              
CCL22  	0.0084362	0.012396	0.0029164	0.014688	0.016181	0.016836	0.016456	0.017258	0.019537	0.01819	0.016978	0.019705	0.017622	0.018337	0.01863	0.015845	0.005109	0.0072056	0.010991	0.014677	0.015222	0.012652	0.0098728	0.005109	0.0070197	0.015823	0.015242	0.018988	0.015173	0.015744	0.015014	0.015455	0.015544	0.015561	0.01521	0.014819	0.014819	0.015582	0.01465	0.015344	0.015284	0.015421	0.015379	0.015065	0.015413	0.015366	0.015155	0.01508	0.01487	0.015558	0.015132	0.01507	0.014823	0.0136	0.0098728	0.013667	0.016124	0.0028439	0.013042	0.0029534	0.015848	0.0071887	0.005109	0.0091844	0.015657	0.014513	0.01535	0.015245	0.015515	0.015483	0.010243	0.0043733	0.015732                                                                        
CCL24  	0.0068334	0.011152	0.0023374	0.013634	0.017704	0.018708	0.017606	0.019537	0.028699	0.023783	0.019064	0.029102	0.021607	0.023312	0.024543	0.015648	0.0044608	0.0058022	0.009374	0.011435	0.014726	0.01101	0.0081598	0.0044608	0.0061955	0.01562	0.014481	0.026404	0.014173	0.015684	0.012646	0.015002	0.014562	0.014974	0.014812	0.013582	0.013582	0.015128	0.013498	0.014822	0.014094	0.014713	0.014772	0.014468	0.01508	0.014459	0.014284	0.014854	0.014311	0.015941	0.014062	0.014568	0.013732	0.012594	0.0081598	0.011686	0.015739	0.0022646	0.010706	0.0019731	0.014973	0.0064033	0.0044608	0.0090947	0.013973	0.013513	0.015084	0.015174	0.01481	0.014552	0.0089354	0.0033169	0.015389                                                              
CCL26  	0.0079752	0.011698	0.0044692	0.0138	0.016782	0.017648	0.016908	0.01819	0.023783	0.021722	0.017794	0.023421	0.019404	0.020688	0.021302	0.015626	0.0043303	0.0064398	0.01011	0.011537	0.014839	0.011197	0.0089572	0.0043303	0.0077982	0.015653	0.014961	0.021921	0.014638	0.01564	0.013752	0.015193	0.015077	0.015274	0.015015	0.014873	0.014873	0.015277	0.013891	0.015063	0.014729	0.014956	0.014952	0.014744	0.015132	0.014919	0.014717	0.015068	0.014707	0.015671	0.014412	0.014739	0.014187	0.012997	0.0089572	0.012926	0.015709	0.0036292	0.011953	0.0024003	0.015148	0.0088994	0.0043303	0.0087534	0.014587	0.014531	0.014931	0.015443	0.01513	0.014875	0.010165	0.0045731	0.015277                                                                 
