       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHI3L1 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ADAM33 	0.021891	0.041302	0.010536	0.0062173	0.011234	0.011443	0.011797	0.011529	0.011593	0.011535	0.011578	0.011559	0.011493	0.011357	0.011505	0.011527	0.011602	0.01169	0.041302	0.010902	0.0094252	0.010155	0.010958	0.010704	0.01094	0.011456	0.011363	0.010447	0.01047	0.010903	0.011717	0.011584	0.01272	0.01154	0.011657	0.012221	0.011696	0.011689	0.014637	0.011872	0.011445	0.011605	0.011591	0.01122	0.01168	0.011456	0.011686	0.011586	0.011531	0.011516	0.0091553	0.011598	0.011434	0.011787	0.011997	0.01142	0.011475	0.011492	0.011213	0.011202	0.0098977	0.01147	0.01135	0.011294	0.011169	0.011379	0.009702	0.0094252	0.011577	0.0097053	0.011309	0.010367	0.010628	0.012005	0.011235	0.0064077	0.011529	0.011644	0.011759	0.011698	0.011542	0.011489	0.011581                                                                         
ADRB2  	0.041302	0.11334	0.0079828	0.0047205	0.0088943	0.009387	0.010756	0.009743	0.010119	0.0097295	0.0097908	0.0095618	0.0098034	0.0088546	0.0097616	0.009611	0.009835	0.010279	0.095023	0.0081957	0.0063428	0.0075029	0.0085393	0.0080009	0.0082244	0.0098214	0.0091285	0.0078769	0.0080037	0.0083866	0.010296	0.0098674	0.013004	0.0096895	0.010168	0.011657	0.010307	0.010339	0.019572	0.010884	0.0094726	0.0098446	0.010091	0.0086638	0.010283	0.0094006	0.010236	0.0098143	0.0098151	0.009955	0.0067428	0.0098686	0.0094933	0.010591	0.011172	0.0097614	0.0095464	0.0097725	0.0090673	0.0092033	0.0070654	0.0094488	0.010078	0.0090908	0.008973	0.009155	0.0067589	0.0063428	0.009873	0.0067667	0.0090979	0.0078612	0.0082984	0.011041	0.0088186	0.004293	0.0099436	0.010122	0.010512	0.010362	0.0096825	0.0094502	0.0098703                     
ALOX5  	0.010536	0.0079828	0.024545	0.0064822	0.011078	0.011741	0.012397	0.0119	0.012863	0.01185	0.011763	0.01163	0.011952	0.0114	0.011939	0.01185	0.011891	0.011885	0.0079828	0.010428	0.0098707	0.01052	0.012393	0.012498	0.010943	0.012231	0.011716	0.026764	0.010957	0.012427	0.01182	0.011972	0.011768	0.011772	0.011916	0.011413	0.011862	0.01189	0.011543	0.011793	0.011343	0.011778	0.011808	0.011423	0.01264	0.012002	0.01179	0.011786	0.011794	0.011936	0.0090544	0.011919	0.012108	0.011911	0.011798	0.012019	0.011877	0.012014	0.012275	0.014537	0.031904	0.011744	0.011827	0.011471	0.011922	0.011512	0.01018	0.0098707	0.011932	0.010215	0.011178	0.010888	0.011096	0.011733	0.011399	0.007876	0.011817	0.011777	0.012574	0.012036	0.011732	0.011585	0.011755                                                                             
AREG   	0.0062173	0.0047205	0.0064822	0.3967	0.0065066	0.0069531	0.0072063	0.0072475	0.0088621	0.0072142	0.0066411	0.0065664	0.0084883	0.0060987	0.0070826	0.007104	0.0069927	0.0086664	0.0047205	0.0057881	0.0043536	0.005275	0.011022	0.0073832	0.0057547	0.0080293	0.0064004	0.0064121	0.0056247	0.0074138	0.0075191	0.007361	0.0068431	0.0073143	0.0081712	0.0072001	0.0085965	0.007426	0.008581	0.0080562	0.0068912	0.0071839	0.0084038	0.0059939	0.0075591	0.0069431	0.0073439	0.0069362	0.0072943	0.0073857	0.0050985	0.0071013	0.0071415	0.0075118	0.0072316	0.0071259	0.0067557	0.0075691	0.0074545	0.0088345	0.0062774	0.0068516	0.036311	0.0068246	0.0073053	0.006857	0.0046712	0.0043536	0.011536	0.0047822	0.0066012	0.0056623	0.0059756	0.0079171	0.0060587	0.0028121	0.0073729	0.0072391	0.008668	0.0095844	0.0072422	0.0072267	0.0071175
ARG1   	0.011234	0.0088943	0.011078	0.0065066	0.016679	0.012505	0.012062	0.012509	0.012374	0.012364	0.012195	0.012351	0.0125	0.012172	0.012188	0.012356	0.012273	0.012421	0.0088943	0.020603	0.0096761	0.01064	0.0116	0.011345	0.011822	0.012194	0.012005	0.010743	0.010919	0.01156	0.012448	0.012475	0.012193	0.01252	0.012574	0.012672	0.012576	0.012528	0.01209	0.012588	0.01512	0.012484	0.012416	0.011688	0.012369	0.012343	0.012841	0.012415	0.012349	0.012128	0.0099265	0.012387	0.012169	0.012393	0.012519	0.012102	0.012146	0.012276	0.011893	0.011887	0.010314	0.012534	0.01191	0.01533	0.011846	0.012479	0.010025	0.0096761	0.012273	0.01004	0.015903	0.010836	0.011156	0.012491	0.01234	0.0066314	0.012187	0.012647	0.012362	0.012513	0.01244	0.012511	0.012381                                                                             
BCL6   	0.011443	0.009387	0.011741	0.0069531	0.012505	0.013942	0.012229	0.012451	0.012342	0.012477	0.012363	0.012509	0.012321	0.012569	0.012315	0.012502	0.012445	0.01256	0.009387	0.012188	0.010323	0.011056	0.011871	0.011625	0.012484	0.012249	0.012462	0.011631	0.011346	0.011803	0.012552	0.012616	0.012374	0.012837	0.01249	0.01254	0.012499	0.012359	0.012166	0.012363	0.012474	0.012506	0.012459	0.012217	0.012424	0.012539	0.012579	0.012472	0.012448	0.012273	0.011674	0.012466	0.012443	0.012397	0.012409	0.012321	0.01242	0.01235	0.012126	0.012134	0.011133	0.012818	0.012012	0.012387	0.011962	0.012945	0.010635	0.010323	0.01249	0.010614	0.012471	0.011252	0.011504	0.01271	0.01285	0.0085463	0.012478	0.012497	0.012573	0.012396	0.012665	0.012831	0.012502                                                                            
CCL11  	0.011797	0.010756	0.012397	0.0072063	0.012062	0.012229	0.01228	0.012242	0.012213	0.012249	0.012285	0.012296	0.012213	0.012358	0.012258	0.012272	0.012271	0.012203	0.010756	0.011839	0.012346	0.012316	0.011926	0.011798	0.012227	0.012221	0.012289	0.012553	0.012314	0.011892	0.012216	0.012216	0.012238	0.012225	0.012205	0.012155	0.012187	0.012122	0.012049	0.012186	0.012118	0.012257	0.012183	0.013086	0.012226	0.012271	0.012199	0.012331	0.012228	0.012225	0.010621	0.012262	0.01222	0.012192	0.012194	0.012174	0.012273	0.012216	0.012074	0.012182	0.012438	0.012216	0.011831	0.012107	0.011954	0.012234	0.012333	0.012346	0.012223	0.012338	0.012092	0.01231	0.012294	0.012233	0.012151	0.0080256	0.012157	0.012217	0.012206	0.012186	0.012234	0.01224	0.012238                                                                        
CCL17  	0.011529	0.009743	0.0119	0.0072475	0.012509	0.012451	0.012242	0.012471	0.012295	0.012523	0.01235	0.012481	0.012297	0.012624	0.012317	0.012443	0.01242	0.01235	0.009743	0.012525	0.011133	0.01156	0.01202	0.011886	0.013902	0.012239	0.01238	0.01176	0.011736	0.011994	0.012387	0.012377	0.012321	0.012419	0.012358	0.012375	0.01234	0.012279	0.012072	0.012306	0.012454	0.012398	0.012306	0.012434	0.012324	0.012429	0.012372	0.012411	0.012332	0.012248	0.010793	0.012397	0.01233	0.012313	0.012319	0.012219	0.012354	0.012301	0.012174	0.012152	0.011535	0.012417	0.011935	0.012457	0.012089	0.012497	0.011306	0.011133	0.012351	0.011307	0.012478	0.011674	0.011819	0.012404	0.01239	0.0081208	0.012352	0.01236	0.012313	0.012305	0.012418	0.01249	0.012492                                                                                  
CCL2   	0.011593	0.010119	0.012863	0.0088621	0.012374	0.012342	0.012213	0.012295	0.012322	0.012302	0.012242	0.012345	0.012229	0.012423	0.012232	0.012322	0.012301	0.012273	0.010119	0.012358	0.011031	0.011461	0.01218	0.012121	0.012366	0.012203	0.012292	0.013005	0.011646	0.012172	0.012292	0.012313	0.012228	0.012326	0.012284	0.012309	0.012275	0.012257	0.012061	0.012232	0.012342	0.012301	0.012237	0.0122	0.012306	0.012332	0.012287	0.012286	0.012248	0.012189	0.010846	0.012292	0.012285	0.012252	0.012251	0.012153	0.012267	0.012241	0.012228	0.012369	0.013522	0.012325	0.012047	0.012348	0.012181	0.012374	0.011206	0.011031	0.012354	0.011212	0.012351	0.011589	0.011734	0.012365	0.012271	0.0079457	0.01223	0.012267	0.012312	0.012271	0.01232	0.012362	0.012287                                                                         
CCL22  	0.011535	0.0097295	0.01185	0.0072142	0.012364	0.012477	0.012249	0.012523	0.012302	0.012604	0.012373	0.012532	0.0123	0.012736	0.012339	0.012483	0.012462	0.012365	0.0097295	0.012211	0.011077	0.011526	0.011971	0.011804	0.014591	0.01224	0.012385	0.011709	0.011716	0.01193	0.012408	0.012383	0.01235	0.012435	0.012366	0.012372	0.012344	0.012262	0.012077	0.012305	0.012362	0.012405	0.012311	0.012344	0.012329	0.012418	0.012368	0.012418	0.012341	0.012254	0.010802	0.012411	0.012339	0.01232	0.012318	0.01223	0.012368	0.012308	0.012152	0.012138	0.011467	0.012429	0.011933	0.012356	0.012038	0.01253	0.011261	0.011077	0.012368	0.01126	0.012356	0.011648	0.011801	0.012416	0.012409	0.0081833	0.012396	0.012366	0.012321	0.012305	0.012438	0.012522	0.012558                                                                            
