       	ALOX5  	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
ALOX5  	0.3961	0.0076992	0.0094697	0.0081962	0.011062	0.0082224	0.0065796	0.0071438	0.010773	0.0065796	0.0089143	0.0075609	0.0076394	0.0098277	0.013793	0.0032785	0.038349	0.028224	0	0	0.0038362	0.0091943	0.0089356	0.0067445	0.0077173	0.010862	0.0061889	0.011355	0.0083253	0.0089711	0.011082	0.0083736	0.0083736	0.0087772	0.0057853	0.0086259	0.0065155	0.0097599	0.0084226	0.013106	0.015002	0.0073189	0.018656	0.01093	0.010277	0.012139	0.019605	0.014616	0.018402	0.018402	0	0.0051639	0.0073471	0.0012411	0.0034141	0.0057501	0.0032761	0	0	0.0064461	0.0033945	0.014008	0.0087797	0.0089908	0.008466	0.0068246	0.0024071	0.0087738                
BCL6   	0.0076992	0.17954	0.011417	0.010397	0.011765	0.011018	0.0078325	0.0096326	0.010691	0.0078325	0.010592	0.0086289	0.0088876	0.013295	0.030501	0.0080785	0.016069	0.0076992	0	0	0.0053967	0.019295	0.014176	0.0073754	0.0175	0.016138	0.010382	0.015086	0.014519	0.013842	0.013623	0.012688	0.012688	0.015586	0.0087162	0.014141	0.0085004	0.036178	0.010451	0.017267	0.013873	0.0094053	0.012848	0.01466	0.016874	0.014663	0.013249	0.015807	0.02557	0.02557	0	0.011191	0.010852	0.0017764	0.0098026	0.0097075	0.0057472	0	0	0.013618	0.0060986	0.039687	0.013585	0.018545	0.012777	0.0096044	0.0034936	0.015873                                         
CCL11  	0.0094697	0.011417	0.020443	0.021994	0.019785	0.021977	0.025533	0.021289	0.021233	0.025533	0.021621	0.024287	0.02372	0.017511	0.011136	0.011026	0.015749	0.0094697	0	0	0.0083929	0.01633	0.01567	0.025935	0.014557	0.016956	0.01399	0.016554	0.016443	0.016606	0.016795	0.016646	0.016646	0.01623	0.013776	0.016236	0.014038	0.015626	0.015208	0.015876	0.017219	0.01471	0.016458	0.01634	0.016406	0.016712	0.016988	0.016965	0.013327	0.013327	0	0.011262	0.017269	0.0038851	0.0087785	0.014548	0.012086	0	0	0.015307	0.0089407	0.014527	0.017059	0.015956	0.016556	0.011172	0.0051069	0.017388                                                       
CCL17  	0.0081962	0.010397	0.021994	0.024855	0.021131	0.024823	0.030613	0.023145	0.023435	0.030613	0.024025	0.028392	0.027425	0.017265	0.010537	0.016663	0.015126	0.0081962	0	0	0.0079545	0.015905	0.014938	0.031192	0.013794	0.016711	0.013099	0.015977	0.015707	0.016109	0.016146	0.015556	0.015556	0.015414	0.010653	0.015243	0.010858	0.01475	0.01263	0.015081	0.01652	0.011953	0.015135	0.016086	0.015606	0.015932	0.014892	0.015872	0.012661	0.012661	0	0.010452	0.017323	0.0035988	0.0079255	0.01398	0.011358	0	0	0.014565	0.007716	0.01406	0.016799	0.015251	0.015712	0.010296	0.004495	0.019047                                                       
CCL2   	0.011062	0.011765	0.019785	0.021131	0.019561	0.021185	0.024055	0.020291	0.020795	0.024055	0.020808	0.023098	0.022585	0.017781	0.011932	0.010249	0.015861	0.011062	0	0	0.0082089	0.016763	0.015836	0.024441	0.015105	0.017209	0.016565	0.016849	0.016977	0.017165	0.016688	0.016373	0.016373	0.016756	0.012582	0.016609	0.012469	0.015842	0.013989	0.015956	0.01694	0.013438	0.016139	0.016385	0.016381	0.016361	0.016047	0.016432	0.013834	0.013834	0	0.011836	0.019148	0.0037141	0.0095854	0.017688	0.010385	0	0	0.017508	0.0091051	0.014876	0.016948	0.016496	0.017859	0.011213	0.0051277	0.016904                                                   
CCL22  	0.0082224	0.011018	0.021977	0.024823	0.021185	0.024847	0.030569	0.022783	0.023504	0.030569	0.023996	0.028376	0.027367	0.017603	0.010545	0.016478	0.015159	0.0082224	0	0	0.0070957	0.01611	0.015059	0.031157	0.014144	0.016858	0.013825	0.016119	0.015805	0.016272	0.016151	0.015169	0.015169	0.015575	0.010652	0.015374	0.0108	0.014977	0.012591	0.015145	0.016567	0.011903	0.015034	0.01605	0.015533	0.015952	0.014893	0.015895	0.012641	0.012641	0	0.010698	0.017619	0.0027684	0.0084273	0.014204	0.0094838	0	0	0.014998	0.0079851	0.014189	0.016679	0.015437	0.015994	0.010026	0.004062	0.019025                                                    
CCL24  	0.0065796	0.0078325	0.025533	0.030613	0.024055	0.030569	0.041738	0.026805	0.028198	0.041403	0.029329	0.03719	0.035343	0.017078	0.007724	0.011071	0.014379	0.0065796	0	0	0.0061783	0.015014	0.013673	0.042902	0.012233	0.016399	0.01109	0.01503	0.01415	0.015154	0.01529	0.013406	0.013406	0.014098	0.008228	0.013397	0.0085872	0.013284	0.010643	0.013811	0.01603	0.009818	0.013587	0.015572	0.014094	0.015234	0.013289	0.015051	0.010441	0.010441	0	0.0084009	0.017085	0.0021722	0.0058188	0.011842	0.0079631	0	0	0.012556	0.0056532	0.012286	0.016288	0.013785	0.01413	0.0083918	0.0029076	0.019169                                                  
CCL26  	0.0071438	0.0096326	0.021289	0.023145	0.020291	0.022783	0.026805	0.043915	0.021733	0.026805	0.024424	0.025125	0.027518	0.016154	0.010059	0.0081945	0.014832	0.0071438	0	0	0.0097027	0.015903	0.015534	0.027147	0.013713	0.016677	0.012726	0.016088	0.016804	0.016571	0.016327	0.017556	0.017556	0.015579	0.010114	0.015769	0.010249	0.014815	0.012166	0.015379	0.016489	0.011461	0.01539	0.017164	0.016492	0.015942	0.014346	0.015688	0.012606	0.012606	0	0.011218	0.015956	0.0046859	0.0081055	0.013536	0.016088	0	0	0.014007	0.0082063	0.013645	0.018912	0.01566	0.015069	0.011422	0.0052896	0.016645                                                
CCL5   	0.010773	0.010691	0.021233	0.023435	0.020795	0.023504	0.028198	0.021733	0.02297	0.028198	0.022936	0.026591	0.02573	0.019127	0.010783	0.0099509	0.015695	0.010773	0	0	0.0070527	0.016479	0.015242	0.029089	0.014974	0.017107	0.014203	0.016604	0.016122	0.016535	0.016269	0.015156	0.015156	0.016192	0.010952	0.015602	0.010943	0.015315	0.01277	0.015479	0.017013	0.012047	0.015689	0.016149	0.015671	0.016059	0.01566	0.016149	0.01296	0.01296	0	0.011355	0.019427	0.0027189	0.009268	0.017224	0.0091533	0	0	0.0169	0.0076752	0.014208	0.016661	0.015898	0.017316	0.010126	0.0040608	0.017296                                                         
CCL8   	0.0065796	0.0078325	0.025533	0.030613	0.024055	0.030569	0.041403	0.026805	0.028198	0.041738	0.029329	0.03719	0.035343	0.017078	0.007724	0.011071	0.014379	0.0065796	0	0	0.0061783	0.015014	0.013673	0.042902	0.012233	0.016399	0.01109	0.01503	0.01415	0.015154	0.01529	0.013406	0.013406	0.014098	0.008228	0.013397	0.0085872	0.013284	0.010643	0.013811	0.01603	0.009818	0.013587	0.015572	0.014094	0.015234	0.013289	0.015051	0.010441	0.010441	0	0.0084009	0.017085	0.0021722	0.0058188	0.011842	0.0079631	0	0	0.012556	0.0056532	0.012286	0.016288	0.013785	0.01413	0.0083918	0.0029076	0.019169                                                  
