       	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CMA1   	CRLF2  	CSF2   	CSF3R  	FCER1A 	FOXP3  	GATA3  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	MAF    	MMP9   	MS4A2  	PDCD1  	PPARG  	RETNLB 	RORC   	SATB1  	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
BCL6   	0.42207	0.0090407	0.0063445	0.0080283	0.0053349	0.0021879	0.0071836	0.0071342	0.0021879	0.0067304	0.0054693	0.0054693	0.011816	0.00462	0.0020215	0.0098104	0.0036301	0	0.019678	0.011414	0.025757	0.010877	0.006023	0.012801	0.010749	0.010155	0.010386	0.0086889	0.0086889	0.017734	0.0058498	0.010818	0.0029297	0.074748	0.0042458	0.017755	0.011011	0.0042458	0.0073272	0.012835	0.010448	0.010229	0.0073272	0.019631	0.0055915	0.0062665	0.0058039	0.0077256	0	0.012497	0.0045519	0.0037574	0.015425	0.0043196	0.0097262	0.010188	0.017834	0.009333	0.0069772	0.0023949	0.0061727                        
CCL11  	0.0090407	0.027541	0.029453	0.023455	0.030992	0.019519	0.022953	0.024126	0.019519	0.023826	0.032208	0.032208	0.016349	0.0102	0.0066576	0.018162	0.010498	0	0.017048	0.017567	0.014441	0.019045	0.01492	0.018129	0.018144	0.0189	0.020188	0.020839	0.020839	0.01638	0.008007	0.01925	0.0058165	0.016465	0.0084416	0.017111	0.01879	0.0084416	0.017075	0.019586	0.019254	0.017415	0.017075	0.021246	0.012219	0.012711	0.014344	0.018178	0	0.0098945	0.01218	0.01573	0.014395	0.010033	0.015263	0.020374	0.017393	0.016831	0.0071047	0.0025242	0.013704                                                         
CCL17  	0.0063445	0.029453	0.040064	0.026042	0.043476	0.023686	0.024433	0.027811	0.023686	0.027942	0.041717	0.041717	0.016369	0.0086971	0.0056829	0.01688	0.0082204	0	0.015608	0.016143	0.012969	0.019047	0.014641	0.017188	0.017335	0.018624	0.01902	0.018841	0.018841	0.015125	0.0065765	0.017482	0.0045068	0.014304	0.0068967	0.015509	0.016488	0.0068967	0.0138	0.01921	0.017792	0.01606	0.0138	0.01871	0.010518	0.011296	0.0134	0.018567	0	0.0090922	0.011066	0.015558	0.012682	0.0082357	0.01378	0.020332	0.016144	0.015634	0.0058488	0.0019597	0.01225                                                        
CCL2   	0.0080283	0.023455	0.026042	0.023434	0.027659	0.017077	0.019824	0.024654	0.017077	0.021782	0.028797	0.028797	0.018855	0.011445	0.005871	0.018224	0.013861	0	0.017385	0.017077	0.016384	0.01943	0.019177	0.018734	0.019273	0.019842	0.01936	0.018685	0.018685	0.017884	0.0087087	0.018766	0.0060723	0.016261	0.0084844	0.016908	0.018068	0.0084844	0.017024	0.018566	0.01837	0.016892	0.017024	0.018939	0.013355	0.013327	0.012565	0.024836	0	0.013478	0.023878	0.01101	0.015921	0.0095025	0.015829	0.018905	0.017846	0.021389	0.0074224	0.0028426	0.012528                                                   
CCL22  	0.0053349	0.030992	0.043476	0.027659	0.051936	0.025698	0.023	0.030273	0.025698	0.029964	0.046959	0.046959	0.017234	0.007831	0.0040087	0.016715	0.008014	0	0.014911	0.01513	0.012816	0.019449	0.016032	0.016906	0.016908	0.018613	0.018484	0.01669	0.01669	0.014776	0.006114	0.016877	0.0040674	0.013551	0.0063748	0.014924	0.015944	0.0063748	0.013152	0.018657	0.016654	0.015586	0.013152	0.018214	0.0097526	0.010247	0.0098384	0.019615	0	0.0096661	0.011753	0.010376	0.011822	0.0064296	0.013079	0.019488	0.01556	0.015787	0.0054416	0.0017902	0.010555                                                   
CCL24  	0.0021879	0.019519	0.023686	0.017077	0.025698	0.25101	0.026729	0.018623	0.20122	0.05883	0.019118	0.019118	0.0082479	0.0031582	0.0022977	0.0092566	0.0035069	0	0.0074293	0.0080819	0.0055187	0.012004	0.006704	0.0088872	0.0084046	0.0096068	0.010172	0.0084234	0.0084234	0.0076777	0.0032204	0.0085534	0.0023167	0.0067304	0.0039836	0.0080745	0.0088891	0.0039836	0.0071543	0.012339	0.0086627	0.011147	0.0071543	0.010095	0.0042626	0.0049043	0.0054541	0.0095244	0	0.0035766	0.0046092	0.0043755	0.0050481	0.0028261	0.0062939	0.011269	0.0078706	0.0074767	0.002381	0.00064986	0.0065594                 
CCL26  	0.0071836	0.022953	0.024433	0.019824	0.023	0.026729	0.079381	0.018887	0.026729	0.02898	0.021287	0.021287	0.01351	0.0095649	0.0070596	0.016176	0.0076136	0	0.016922	0.018125	0.012781	0.018121	0.014198	0.017333	0.018671	0.019011	0.019382	0.022452	0.022452	0.015428	0.0071059	0.018768	0.005014	0.015386	0.0075982	0.016422	0.017011	0.0075982	0.014185	0.021787	0.019863	0.017032	0.014185	0.018435	0.011057	0.012862	0.017074	0.013893	0	0.0078056	0.0085872	0.021102	0.013923	0.0098511	0.014591	0.02444	0.017419	0.014401	0.0063783	0.0021639	0.014587                                                 
CCL5   	0.0071342	0.024126	0.027811	0.024654	0.030273	0.018623	0.018887	0.027661	0.018623	0.022817	0.031871	0.031871	0.024611	0.010435	0.0043147	0.017985	0.013945	0	0.016629	0.015992	0.020245	0.019365	0.016615	0.018933	0.017502	0.018812	0.018668	0.016593	0.016593	0.017625	0.0079875	0.017466	0.0053297	0.015987	0.0076595	0.016216	0.017263	0.0076595	0.016123	0.017756	0.017171	0.016228	0.016123	0.018251	0.0125	0.012161	0.0095354	0.02709	0	0.023135	0.025853	0.009117	0.014681	0.007349	0.014945	0.018071	0.017267	0.021958	0.0066518	0.0024135	0.010839                                                 
CCL8   	0.0021879	0.019519	0.023686	0.017077	0.025698	0.20122	0.026729	0.018623	0.25101	0.05883	0.019118	0.019118	0.0082479	0.0031582	0.0022977	0.0092566	0.0035069	0	0.0074293	0.0080819	0.0055187	0.012004	0.006704	0.0088872	0.0084046	0.0096068	0.010172	0.0084234	0.0084234	0.0076777	0.0032204	0.0085534	0.0023167	0.0067304	0.0039836	0.0080745	0.0088891	0.0039836	0.0071543	0.012339	0.0086627	0.011147	0.0071543	0.010095	0.0042626	0.0049043	0.0054541	0.0095244	0	0.0035766	0.0046092	0.0043755	0.0050481	0.0028261	0.0062939	0.011269	0.0078706	0.0074767	0.002381	0.00064986	0.0065594                 
CCR3   	0.0067304	0.023826	0.027942	0.021782	0.029964	0.05883	0.02898	0.022817	0.05883	0.030749	0.02813	0.02813	0.015618	0.0091443	0.0065594	0.016088	0.0092566	0	0.015074	0.015367	0.013238	0.017692	0.014907	0.016265	0.016607	0.017308	0.017518	0.017173	0.017173	0.014901	0.0083002	0.016726	0.0065542	0.01408	0.008717	0.015056	0.016284	0.008717	0.014984	0.017958	0.016585	0.016058	0.014984	0.017486	0.010825	0.011341	0.012339	0.017366	0	0.01019	0.012392	0.011269	0.012881	0.0080819	0.013491	0.018328	0.015526	0.015491	0.0063433	0.002381	0.012665                                                      
